dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
HandOutlines,ZC_MIX,ZC_MIX,MIPV_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,MIPV,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,MIPV_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX
Haptics,LSPV,MIPV,ZC_MIX,LSPV,PPV,LSPV,ZC_MIX,ZC_MIX,ZC_MIX,LSPV,ZC_MIX,MPV,ZC_MIX,ZC_MIX,LSPV,ZC_MIX,LSPV,ZC_MIX,MPV,MPV,ZC_MIX,ZC_MIX,LSPV,MIPV,LSPV,ZC_MIX,ZC_MIX,ZC_MIX,LSPV,LSPV
Herring,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MIPV_DIFF,MIPV,PPV_MIX,MIPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,ZC_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
HouseTwenty,ZC_MIX,PPV_DIFF,ZC_MIX,PPV,ZC_MIX,ZC_MIX,PPV,ZC_MIX,PPV_DIFF,MPV,ZC,ZC_MIX,ZC_MIX,ZC_MIX,MPV_DIFF,ZC,ZC_MIX,ZC_MIX,MPV_DIFF,ZC_MIX,ZC_MIX,ZC,ZC_MIX,ZC,PPV,ZC_MIX,ZC_MIX,ZC,ZC_MIX,MPV
InlineSkate,ZC_MIX,ZC_DIFF,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,MPV_MIX,ZC_DIFF,ZC_MIX,ZC_MIX,MPV_MIX,ZC_MIX,ZC_MIX,ZC_MIX
InsectEPGRegularTrain,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,ZC_MIX
InsectEPGSmallTrain,PPV,PPV,ZC_MIX,ZC_MIX,PPV,PPV,ZC_MIX,PPV,PPV,PPV,ZC_MIX,ZC_MIX,PPV,PPV,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,PPV,ZC_MIX,ZC_MIX,LSPV,ZC_MIX,PPV,ZC_MIX,ZC_MIX,ZC_MIX,LSPV,PPV
InsectWingbeatSound,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MIPV_DIFF,PPV_MIX,MIPV_MIX,MPV_MIX,PPV_MIX,PPV_MIX,MIPV_DIFF,MIPV_DIFF,MIPV_MIX,PPV_MIX,PPV_MIX,MIPV_MIX,PPV_MIX,PPV_MIX,MIPV_MIX,PPV_MIX
ItalyPowerDemand,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MPV_DIFF,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,MIPV_DIFF,ZC,PPV,PPV_MIX,MPV_DIFF,PPV_DIFF,PPV_MIX,MPV_MIX,PPV,ZC_DIFF,MIPV,PPV_DIFF,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
LargeKitchenAppliances,MPV_MIX,LSPV_MIX,MPV_MIX,ZC_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,ZC_MIX,MPV_MIX,MPV_MIX,MPV_MIX,LSPV_MIX,MPV_MIX,MPV_MIX,LSPV_MIX,MPV_MIX,ZC_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX,MPV_MIX
